filepath,caption
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0012_795927.jpg,a photo of Parakeet Auklet with grey primary color and has grey leg color and has upland-ground-like shape and has plain head pattern and has solid belly pattern and has grey belly color and has iridescent breast color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0012_795927.jpg,this is a Parakeet Auklet that has grey crown color and has grey belly color and has shorter_than_head bill length.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0072_795929.jpg,an image of the bird species Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0072_795929.jpg,this is a Parakeet Auklet that has brown forehead color and has multi-colored wing pattern and has brown upperparts color and has pigeon-like shape and has brown crown color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0072_795929.jpg,a wild Parakeet Auklet featuring very_large_(32_-_72_in) size and has spotted head pattern and has brown forehead color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0030_795930.jpg,a photo of a Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0030_795930.jpg,an image of the bird species Parakeet Auklet with white belly color and has white underparts color and has black forehead color and has striped breast pattern and has specialized bill shape and has black leg color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0030_795930.jpg,a close-up of Parakeet Auklet showing striped breast pattern and has rounded-wings wing shape and has white underparts color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0007_795932.jpg,an image of the bird species Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0007_795932.jpg,a photo of Parakeet Auklet with grey upperparts color and has solid belly pattern and has small_(5_-_9_in) size and has grey back color and has grey upper tail color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0007_795932.jpg,a close-up of Parakeet Auklet showing grey crown color and has shorter_than_head bill length and has orange bill color and has tree-clinging-like shape.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0041_795933.jpg,an image of the bird species Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0041_795933.jpg,an image of the bird species Parakeet Auklet with pigeon-like shape and has multi-colored back pattern and has multi-colored wing pattern and has grey upperparts color and has rufous bill color and has black wing color and has cone bill shape.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0041_795933.jpg,this is a Parakeet Auklet that has grey primary color and has black primary color and has black upper tail color and has white throat color and has pigeon-like shape and has white primary color and has cone bill shape.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0035_795934.jpg,an image of the bird species Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0035_795934.jpg,a close-up of Parakeet Auklet showing black crown color and has small_(5_-_9_in) size and has solid wing pattern.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0035_795934.jpg,a wild Parakeet Auklet featuring shorter_than_head bill length and has black back color and has black throat color and has malar head pattern and has white primary color and has perching-like shape and has solid belly pattern.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0038_795935.jpg,a photo of a Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0038_795935.jpg,this is a Parakeet Auklet that has white underparts color and has grey eye color and has solid wing pattern and has black throat color and has solid back pattern.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0038_795935.jpg,an image of the bird species Parakeet Auklet with black nape color and has solid tail pattern and has grey eye color and has white primary color and has solid belly pattern.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0069_795936.jpg,a photo of a Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0069_795936.jpg,this is a Parakeet Auklet that has solid belly pattern and has grey leg color and has black back color and has black nape color and has black throat color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0069_795936.jpg,a close-up of Parakeet Auklet showing red bill color and has spotted breast pattern and has black throat color and has specialized bill shape and has grey underparts color and has black forehead color and has shorter_than_head bill length.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0073_795939.jpg,an image of the bird species Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0073_795939.jpg,a photo of Parakeet Auklet with cone bill shape and has eyeline head pattern and has grey primary color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0073_795939.jpg,a close-up of Parakeet Auklet showing shorter_than_head bill length and has grey primary color and has eyeline head pattern and has solid belly pattern and has grey forehead color and has black crown color and has white breast color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0058_795942.jpg,a photo of a Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0058_795942.jpg,an image of the bird species Parakeet Auklet with grey crown color and has black nape color and has medium_(9_-_16_in) size and has grey upper tail color and has eyeline head pattern and has solid tail pattern and has solid breast pattern.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0058_795942.jpg,a wild Parakeet Auklet featuring grey bill color and has solid wing pattern and has white underparts color and has white eye color and has squared_tail tail shape and has white throat color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0036_795943.jpg,an image of the bird species Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0036_795943.jpg,an image of the bird species Parakeet Auklet with cone bill shape and has white eye color and has grey wing color and has grey crown color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0036_795943.jpg,a close-up of Parakeet Auklet showing grey wing color and has grey nape color and has white eye color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0028_795944.jpg,this is an Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0028_795944.jpg,an image of the bird species Parakeet Auklet with white throat color and has black underparts color and has eyering head pattern and has white breast color and has white underparts color and has black breast color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0028_795944.jpg,a close-up of Parakeet Auklet showing white throat color and has white eye color and has black eye color and has black crown color and has white leg color and has black throat color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0020_795947.jpg,this is an Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0020_795947.jpg,a photo of Parakeet Auklet with grey back color and has red nape color and has solid tail pattern and has grey leg color and has malar head pattern and has upright-perching_water-like shape.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0020_795947.jpg,a wild Parakeet Auklet featuring grey leg color and has solid breast pattern and has solid tail pattern.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0043_795948.jpg,a photo of a Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0043_795948.jpg,this is a Parakeet Auklet that has about_the_same_as_head bill length and has pointed_tail tail shape and has multi-colored breast pattern and has white leg color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0043_795948.jpg,a photo of Parakeet Auklet with black wing color and has black upperparts color and has multi-colored breast pattern and has orange bill color and has specialized bill shape and has solid tail pattern.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0045_795953.jpg,a photo of a Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0045_795953.jpg,an image of the bird species Parakeet Auklet with hooked bill shape and has grey wing color and has solid tail pattern and has medium_(9_-_16_in) size and has grey breast color and has white eye color and has white breast color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0045_795953.jpg,a photo of Parakeet Auklet with white breast color and has solid belly pattern and has black eye color and has grey breast color and has orange bill color and has black primary color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0064_795954.jpg,a photo of a Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0064_795954.jpg,a close-up of Parakeet Auklet showing solid wing pattern and has solid belly pattern and has upright-perching_water-like shape and has white breast color and has white underparts color and has black upperparts color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0064_795954.jpg,a wild Parakeet Auklet featuring grey primary color and has specialized bill shape and has white eye color and has black upperparts color and has solid belly pattern and has white throat color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0039_795955.jpg,an image of the bird species Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0039_795955.jpg,an image of the bird species Parakeet Auklet with black wing color and has striped belly pattern and has grey underparts color and has brown bill color and has grey under tail color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0039_795955.jpg,a photo of Parakeet Auklet with shorter_than_head bill length and has striped breast pattern and has pigeon-like shape.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0047_795956.jpg,an image of the bird species Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0047_795956.jpg,a photo of Parakeet Auklet with specialized bill shape and has black wing color and has white back color and has white under tail color and has gull-like shape and has grey upperparts color and has white wing color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0047_795956.jpg,a close-up of Parakeet Auklet showing grey under tail color and has black crown color and has black back color and has grey upperparts color and has black under tail color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0050_795957.jpg,a photo of a Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0050_795957.jpg,a wild Parakeet Auklet featuring solid breast pattern and has white belly color and has notched_tail tail shape.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0050_795957.jpg,this is a Parakeet Auklet that has specialized bill shape and has grey belly color and has black wing color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0062_795958.jpg,a photo of a Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0062_795958.jpg,an image of the bird species Parakeet Auklet with black primary color and has black wing color and has black forehead color and has rufous bill color and has white eye color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0062_795958.jpg,this is a Parakeet Auklet that has white breast color and has black nape color and has malar head pattern and has rufous bill color and has white belly color and has black upper tail color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0031_795960.jpg,an image of the bird species Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0031_795960.jpg,an image of the bird species Parakeet Auklet with black upperparts color and has pointed-wings wing shape and has specialized bill shape and has grey leg color and has shorter_than_head bill length and has solid tail pattern and has duck-like shape.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0031_795960.jpg,a photo of Parakeet Auklet with grey leg color and has shorter_than_head bill length and has black upperparts color and has squared_tail tail shape and has white eye color and has black upper tail color and has black forehead color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0042_795961.jpg,an image of the bird species Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0042_795961.jpg,a close-up of Parakeet Auklet showing black crown color and has black primary color and has white eye color and has black nape color and has white breast color and has solid tail pattern.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0042_795961.jpg,this is a Parakeet Auklet that has white underparts color and has shorter_than_head bill length and has solid back pattern.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0026_795962.jpg,an image of the bird species Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0026_795962.jpg,this is a Parakeet Auklet that has solid tail pattern and has black back color and has black throat color and has grey wing color and has specialized bill shape and has small_(5_-_9_in) size.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0026_795962.jpg,a close-up of Parakeet Auklet showing specialized bill shape and has eyebrow head pattern and has black upperparts color and has solid tail pattern.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0055_795963.jpg,this is an Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0055_795963.jpg,a close-up of Parakeet Auklet showing spatulate bill shape and has white under tail color and has white upperparts color and has white breast color and has red bill color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0055_795963.jpg,a photo of Parakeet Auklet with white under tail color and has pointed-wings wing shape and has grey back color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0067_795964.jpg,a photo of a Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0067_795964.jpg,an image of the bird species Parakeet Auklet with multi-colored back pattern and has white wing color and has multi-colored wing pattern and has orange throat color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0067_795964.jpg,a close-up of Parakeet Auklet showing sandpiper-like shape and has yellow underparts color and has multi-colored back pattern and has multi-colored wing pattern.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0080_795965.jpg,a photo of a Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0080_795965.jpg,a close-up of Parakeet Auklet showing black upper tail color and has black primary color and has white breast color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0080_795965.jpg,this is a Parakeet Auklet that has black upperparts color and has black breast color and has black belly color and has spotted breast pattern.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0015_795966.jpg,a photo of a Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0015_795966.jpg,a close-up of Parakeet Auklet showing grey back color and has spotted breast pattern and has grey crown color and has white eye color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0015_795966.jpg,an image of the bird species Parakeet Auklet with grey nape color and has grey throat color and has eyeline head pattern and has grey back color and has grey primary color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0065_795969.jpg,a photo of a Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0065_795969.jpg,an image of the bird species Parakeet Auklet with black forehead color and has black wing color and has small_(5_-_9_in) size.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0065_795969.jpg,this is a Parakeet Auklet that has cone bill shape and has white eye color and has black upper tail color and has solid wing pattern and has black under tail color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0013_795970.jpg,an image of the bird species Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0013_795970.jpg,this is a Parakeet Auklet that has white eye color and has white under tail color and has white breast color and has pointed_tail tail shape and has grey upperparts color and has black forehead color and has cone bill shape.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0013_795970.jpg,a wild Parakeet Auklet featuring white throat color and has grey back color and has striped back pattern and has white nape color and has broad-wings wing shape and has pigeon-like shape.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0051_795971.jpg,this is an Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0051_795971.jpg,a close-up of Parakeet Auklet showing grey primary color and has grey throat color and has medium_(9_-_16_in) size.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0051_795971.jpg,this is a Parakeet Auklet that has white eye color and has grey throat color and has grey primary color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0001_795972.jpg,this is an Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0001_795972.jpg,a wild Parakeet Auklet featuring black back color and has white eye color and has shorter_than_head bill length and has black under tail color and has upright-perching_water-like shape.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0001_795972.jpg,this is a Parakeet Auklet that has upright-perching_water-like shape and has solid back pattern and has black wing color and has black upper tail color and has white belly color and has black forehead color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0059_795973.jpg,this is an Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0059_795973.jpg,a wild Parakeet Auklet featuring shorter_than_head bill length and has striped breast pattern and has grey breast color and has grey belly color and has white belly color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0059_795973.jpg,a photo of Parakeet Auklet with grey nape color and has grey upper tail color and has shorter_than_head bill length and has black nape color and has grey back color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0040_795974.jpg,this is an Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0040_795974.jpg,a close-up of Parakeet Auklet showing grey throat color and has white breast color and has black crown color and has white primary color and has shorter_than_head bill length and has red bill color and has specialized bill shape.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0040_795974.jpg,a photo of Parakeet Auklet with grey leg color and has black primary color and has white throat color and has shorter_than_head bill length.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0025_795975.jpg,this is an Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0025_795975.jpg,a wild Parakeet Auklet featuring grey throat color and has striped back pattern and has grey upperparts color and has black back color and has plain head pattern and has grey breast color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0025_795975.jpg,a photo of Parakeet Auklet with shorter_than_head bill length and has black primary color and has black leg color and has white belly color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0074_795976.jpg,an image of the bird species Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0074_795976.jpg,a close-up of Parakeet Auklet showing brown primary color and has orange bill color and has brown crown color and has white primary color and has white nape color and has brown nape color and has shorter_than_head bill length.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0074_795976.jpg,an image of the bird species Parakeet Auklet with shorter_than_head bill length and has brown crown color and has brown throat color and has white eye color and has brown forehead color and has brown primary color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0016_795977.jpg,an image of the bird species Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0016_795977.jpg,an image of the bird species Parakeet Auklet with shorter_than_head bill length and has solid back pattern and has crested head pattern and has black crown color and has white belly color and has black leg color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0016_795977.jpg,a wild Parakeet Auklet featuring white breast color and has solid tail pattern and has black forehead color and has black underparts color and has crested head pattern.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0048_795980.jpg,a photo of a Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0048_795980.jpg,a photo of Parakeet Auklet with white eye color and has black eye color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0048_795980.jpg,this is a Parakeet Auklet that has black eye color and has white eye color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0075_795981.jpg,an image of the bird species Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0075_795981.jpg,a close-up of Parakeet Auklet showing white eye color and has white primary color and has spotted breast pattern and has black forehead color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0075_795981.jpg,a wild Parakeet Auklet featuring black nape color and has spotted breast pattern and has black primary color and has white eye color and has white breast color and has white underparts color and has black throat color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0003_795982.jpg,this is an Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0003_795982.jpg,an image of the bird species Parakeet Auklet with black forehead color and has orange bill color and has capped head pattern.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0003_795982.jpg,a wild Parakeet Auklet featuring solid belly pattern and has multi-colored tail pattern and has white underparts color and has black nape color and has chicken-like-marsh shape and has capped head pattern.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0032_795986.jpg,this is an Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0032_795986.jpg,an image of the bird species Parakeet Auklet with specialized bill shape and has white eye color and has solid wing pattern and has orange bill color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0032_795986.jpg,a close-up of Parakeet Auklet showing solid back pattern and has black eye color and has black back color and has white eye color and has black forehead color and has duck-like shape.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0019_795987.jpg,this is an Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0019_795987.jpg,an image of the bird species Parakeet Auklet with white eye color and has black wing color and has black nape color and has duck-like shape and has black forehead color and has black upperparts color and has solid back pattern.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0019_795987.jpg,a photo of Parakeet Auklet with black nape color and has black back color and has black forehead color and has eyeline head pattern.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0061_795990.jpg,this is an Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0061_795990.jpg,a close-up of Parakeet Auklet showing white breast color and has black crown color and has black forehead color and has grey throat color and has white underparts color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0061_795990.jpg,a wild Parakeet Auklet featuring grey throat color and has grey wing color and has spotted breast pattern and has white primary color and has solid belly pattern.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0008_795992.jpg,this is an Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0008_795992.jpg,an image of the bird species Parakeet Auklet with grey leg color and has spatulate bill shape and has black primary color and has black forehead color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0008_795992.jpg,a photo of Parakeet Auklet with black primary color and has shorter_than_head bill length and has black forehead color and has grey throat color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0034_795994.jpg,an image of the bird species Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0034_795994.jpg,a wild Parakeet Auklet featuring solid wing pattern and has solid back pattern and has shorter_than_head bill length and has solid belly pattern.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0034_795994.jpg,a photo of Parakeet Auklet with black eye color and has medium_(9_-_16_in) size and has grey breast color and has solid back pattern and has specialized bill shape.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0010_795995.jpg,a photo of a Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0010_795995.jpg,a close-up of Parakeet Auklet showing white throat color and has grey back color and has grey nape color and has white nape color and has white upperparts color and has grey breast color and has black back color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0010_795995.jpg,this is a Parakeet Auklet that has specialized bill shape and has black crown color and has white eye color and has grey back color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0070_795998.jpg,an image of the bird species Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0070_795998.jpg,an image of the bird species Parakeet Auklet with black upperparts color and has striped wing pattern and has grey crown color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0070_795998.jpg,a photo of Parakeet Auklet with grey wing color and has blue nape color and has black bill color and has blue wing color and has grey crown color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0076_796001.jpg,this is an Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0076_796001.jpg,a wild Parakeet Auklet featuring solid belly pattern and has pointed_tail tail shape and has white leg color and has black nape color and has shorter_than_head bill length.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0076_796001.jpg,a photo of Parakeet Auklet with white breast color and has red bill color and has solid tail pattern and has medium_(9_-_16_in) size and has white belly color and has pointed_tail tail shape and has black nape color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0078_2004.jpg,this is an Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0078_2004.jpg,an image of the bird species Parakeet Auklet with white eye color and has brown under tail color and has squared_tail tail shape and has brown crown color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0078_2004.jpg,this is a Parakeet Auklet that has pigeon-like shape and has eyeline head pattern and has striped back pattern and has multi-colored breast pattern and has striped wing pattern and has cone bill shape.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0024_2045.jpg,a photo of a Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0024_2045.jpg,a wild Parakeet Auklet featuring grey underparts color and has black belly color and has medium_(9_-_16_in) size and has black wing color and has orange bill color and has grey breast color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0024_2045.jpg,this is a Parakeet Auklet that has solid wing pattern and has black throat color and has white underparts color and has black eye color and has black primary color and has white eye color and has white belly color.
CUB_200_2011/images/029.American_Crow/American_Crow_0117_25090.jpg,an image of the bird species American Crow.
CUB_200_2011/images/029.American_Crow/American_Crow_0117_25090.jpg,a wild American Crow featuring plain head pattern and has black nape color and has small_(5_-_9_in) size and has solid breast pattern.
CUB_200_2011/images/029.American_Crow/American_Crow_0117_25090.jpg,an image of the bird species American Crow with black primary color and has black forehead color and has black bill color.
